target_block,pairs,PrivSemantic,NoPrivSemantic,RandomTeacherSemantic,PrivRandomSegment,PrivRandomBit,PrivWrongTarget,PrivWrongLigand
P19652,1,3.490689417816687e-05,6.227309827202942e-08,2.4285895435541286e-07,5.318466516264877e-05,4.031354229687237e-06,3.468781915767831e-05,1.679337776590148e-05
P30419,2,0.002121698123344034,2.3965733014597933e-08,1.7619660375425009e-07,0.0001232391041393111,0.00010205223352805111,2.3322353221915568e-05,0.0019459141013041313
P41182,7,0.0004764580173942744,0.00011246161133981951,3.1511964062407884e-07,0.0001912383077694835,4.3512304085788165e-05,0.0005678439230562396,0.0004917350969069346
P50053,1,8.698977214566651e-05,0.0008967536487206285,3.107007438222663e-07,7.916852837796533e-05,3.6898427605523675e-06,0.00015407753425274789,0.00013225950219692553
P54829,1,0.0009070228143484586,1.9544386920747528e-08,2.6711509684507744e-07,4.9697463262692024e-05,1.86835872902149e-05,0.0002522110162869905,0.0008114934413610367
P56658,1,0.0007963078853821405,4.310962028853674e-08,1.6165976520686318e-07,0.00010507344547227281,4.274472160718298e-05,1.7447809376038014e-05,0.0010504180635559567
P56817,5,0.0013155452913121814,4.438947672978461e-06,2.539008484970574e-07,9.114802268682413e-05,9.469130331180069e-05,0.00028642676782188143,0.0010138972603377407
P78417,1,7.48768042819731e-05,7.757777093667505e-08,2.0345060041713415e-07,7.012163612147018e-05,8.580511031984271e-07,0.0001074451415552079,2.4154793080769435e-05
P97287,1,5.606398687539378e-05,2.9270094097596503e-08,4.54025381131132e-08,0.0001281876129111349,3.434982164332326e-06,2.5866954910999804e-05,0.0006636945557780545
P9WFU3,1,6.202748163053014e-05,3.3558606445515034e-08,1.1525257257514232e-07,7.505907947443613e-05,9.678389198779371e-06,2.654885859032503e-05,9.099022532605189e-05
P9WIL5,7,0.0007968491510717412,0.00028405960179513084,1.937698770068488e-07,8.304192086077069e-05,9.626827474738959e-05,7.85513989519809e-05,0.0006195670704352112
Q02880,1,9.605541193779934e-05,1.397588787587708e-08,2.492936386266884e-07,0.00011630147720773265,5.9885535837004315e-06,0.00010989069898527765,4.067735766870023e-05
Q05097,1,4.3148555162358366e-05,3.523627809013872e-08,1.43694440732085e-07,6.680152191140858e-05,1.0762086578293816e-05,8.234332236493238e-05,2.6479494257994008e-05
Q05320,2,0.00019292661357682103,2.890606994210453e-08,1.7998070010996632e-07,0.0003692951961294508,3.497403368656723e-05,0.0001286386283855781,0.00016580372666403318
Q06124,3,8.995762336409101e-05,2.239084183509886e-08,1.2774487753814921e-07,0.00029535133383658453,2.0037306413375e-06,6.193743340322802e-05,5.8720529674765915e-05
Q07343,3,0.002398509763290407,3.606495534375051e-08,1.3568068653166245e-07,4.046994936821755e-05,6.833952076397525e-05,0.00015245449115415335,0.002398509763290407
Q07817,6,3.772468024224483e-05,4.1922854078031725e-06,1.0518970383803457e-07,0.0001315518859689652,4.513575383109463e-06,1.6067718573574796e-05,4.1630859781732314e-05
Q07820,19,0.00013480557809587376,0.0001195981179514454,1.453099140558161e-07,8.345630497164568e-05,1.3286269120179418e-05,5.026849022075224e-05,0.00013055332043064786
Q07889,7,0.00022173409561273769,1.9661536314731697e-08,1.9854717703449186e-07,0.000441834033995562,1.6196095525714165e-05,6.789941024638871e-05,0.0002383931405832551
Q08499,1,0.00393244760519616,4.257339146055821e-08,1.8798505314872817e-07,1.9913490770995976e-05,7.417604846055995e-05,2.9611672532174985e-05,0.0014837096115452558
Q0ED31,1,3.136624729754943e-05,2.5893680575420293e-08,8.099438331788017e-08,4.080287845506245e-05,2.016301595520488e-06,2.6923453415336167e-05,1.562072528457502e-05
Q13093,3,0.0005396837448116831,3.690077103697739e-08,1.940425079267543e-07,0.00016125734813653242,3.9567251495656666e-05,9.108987569060633e-05,0.0007402594892930602
Q14397,1,8.274941507310535e-05,0.002383325925523567,1.0482710808900114e-07,0.00016378835456974184,2.4002177236569536e-06,1.653235656937237e-05,0.00011527962881489077
Q14432,1,0.0006695762372499358,3.535528714145775e-08,2.7137540871401754e-07,0.00015132536084596973,9.617561329125786e-06,1.503244642401355e-05,0.0012876976483026821
Q16658,6,0.00011548606333305585,2.971077147869701e-08,8.062127165021098e-08,0.00016254274917424822,9.804261007879563e-06,1.2226450265154056e-05,0.00011967287088845363
Q16769,1,0.001894211609992483,1.5364090309321146e-08,5.053866432310504e-07,6.088759076972045e-06,0.00011139282551398176,1.1630330442381329e-05,0.0029079458792938442
Q2N0S5,1,1.2870566787353913e-05,1.784852815543243e-08,5.5841956045501165e-08,3.241528605415631e-05,2.2524415982067664e-06,2.5373622003640176e-05,1.4300998032341805e-05
Q4Q5S8,1,0.00040858081869886,3.849618343626219e-08,1.5902745890761833e-07,0.00012170960266425425,1.8479333370297032e-05,6.0283154482942747e-05,0.00019573248323451008
Q4QBL1,1,0.0004879542643420086,3.882273784270225e-08,1.6786234069588814e-07,0.00023744640751489148,1.8577070346506961e-06,6.09824231807324e-05,0.0006943379628853424
Q5EP34,3,0.00041903621695308437,4.7458381549515867e-08,1.2591224205510177e-07,3.935092435039137e-05,0.00011879524956167824,0.00011177032496291469,0.00041903621695308437
Q61091,1,0.00018658898385439892,3.7192350347562975e-08,3.2101206380452916e-07,0.000128457284729505,0.00010136211022166985,0.0001328269828067468,0.0005584192790866138
Q66K64,1,0.001186302816701459,4.6488425875058216e-08,1.3652590096556697e-07,7.101532197278758e-05,1.7764015570719483e-05,0.0027044230695828057,0.0006315248741401493
Q6B0I6,1,0.00019762711783708514,4.161755274252358e-05,6.448787131299794e-07,0.0007598668328291936,3.504327108099292e-05,1.943445351597575e-05,0.001143322686142837
Q6GKU0,1,0.0001807058233044421,1.4562079387586006e-08,7.394075536024609e-08,3.656248445401218e-05,5.2288533611770135e-06,3.998327211159047e-05,0.00037896567753499825
Q6Q3H7,4,0.00020205481269712123,0.0004722148916901845,2.408930522738459e-07,0.0001507189475082467,3.338098995576135e-05,7.659354471529452e-05,0.00016403972369901764
Q86C09,2,0.0004393244556428267,2.989895096014128e-08,3.194739252793768e-07,0.00011383472032849121,1.4613660332782856e-05,9.28061421464704e-05,0.0004393244556428267
Q8N8N7,2,0.0008580428002522676,4.1342078908299534e-08,2.5609957852521514e-07,0.00013358403740666605,2.6739258554936988e-05,0.0004856818446696342,0.0008580428002522676
Q8VDS3,1,8.694093141102963e-05,3.254560852712987e-08,2.7879884676277856e-07,1.2293026854474684e-05,2.0243450000778976e-05,3.957112756217085e-05,0.0003163046930267826
Q8WQX9,1,0.00030140047726032664,1.673643133289277e-05,5.989679850427894e-08,0.0001271545465910646,4.1705382347550066e-05,3.4748698880132984e-06,0.00030449724958773924
Q8WUI4,2,0.00037781695116086166,2.0784239061567006e-08,1.5947278705408155e-07,0.00013383573540253553,1.329070597455982e-05,5.928035756701692e-05,0.0003723244475679899
Q92769,2,0.00014102932698021228,2.9317086316281452e-08,2.651305062819862e-07,0.00017537275330066282,1.034749349549184e-05,5.229847544269215e-05,0.00014102932698021228
Q96LA8,3,0.0011917650613422483,4.110205665444349e-07,2.9477714179098436e-07,3.7456309212714266e-05,8.833859226964546e-05,0.0005101788477246306,0.0009454951242571811
Q9AIU0,1,0.00021770205979669858,9.371493512612317e-08,3.084948992272558e-07,8.948280001347218e-05,2.1689747279637406e-05,0.0017400058679065947,9.606921886500196e-05
Q9BY41,1,0.00013060322023839224,0.00018359574792112666,2.6982220969712483e-07,4.4489664427609564e-05,2.8381561204017683e-05,0.00024153032659215764,0.0009686865133499834
Q9C0B1,1,0.00013019865901798798,8.156925998247937e-08,1.7999721444885036e-07,0.0015241256825395217,2.1743101311576948e-05,6.490040437271713e-05,5.491559249391955e-05
Q9QYJ6,2,0.0002382564231365461,1.1747613136867973e-06,1.1064106684124429e-07,0.00027297703241459747,4.4751691694842264e-05,2.6135505073054306e-05,0.0002382564231365461
Q9UBS5,1,0.00010945752626274424,3.297382311814079e-08,1.662863659819222e-07,0.0003038092423399378,5.310491612308549e-07,9.058676709290915e-06,0.00022981096868664882
Q9UGL1,1,2.4694968081301203e-05,1.6212383464269925e-08,4.8883061912587995e-08,1.3601097888908602e-05,4.565410022866223e-06,1.2128377217555496e-05,1.8738981850054466e-05
Q9Y233,16,0.0005810608051482428,1.774196921785724e-05,2.351203302954328e-07,0.0001698450174578679,4.3532110692881886e-05,2.4131922382427812e-05,0.0005184723767802997
Q9Y2R2,1,0.00027495676453655486,2.3105803139993045e-08,1.3828062363862396e-07,3.610461465217324e-05,2.521515531089783e-06,0.0007930048078094052,0.00036079633404947225
